"Accident_ID","النوع","التاريخ","السرعة","ع.اصابات بسيطة","ع.اصابات بليغة","ع.اصابات الوفاه","ع.اصابات متوسطة","مسارب الطريق","سطح الطريق","جنسية المركبة","فئه الرخصه","نوع الطريق","الاضائة","الطقس","خصائص طريق","خطأ السائق","محافظه","فئة المركبة","تاريخ الحادث","عدد المركبات","عمرالسائق","جنس السائق"
"1532075","صدم","1/18/2017 6:51:00 PM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/18/2017 6:51:00 PM","2","39","ذكر"
"1532075","صدم","1/18/2017 6:51:00 PM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة رابعة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","مخالفة شواخص ممنوع المرور","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/18/2017 6:51:00 PM","2","49","ذكر"
"1533166","صدم","1/19/2017 8:10:00 AM","50","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/19/2017 8:10:00 AM","2","29","ذكر"
"1533166","صدم","1/19/2017 8:10:00 AM","50","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة رابعة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/19/2017 8:10:00 AM","2","24","ذكر"
"1535298","صدم","1/24/2017 10:41:00 PM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة رابعة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/24/2017 10:41:00 PM","2","31","ذكر"
"1535298","صدم","1/24/2017 10:41:00 PM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","0","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","مخالفات قواعد واولويات المرور","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/24/2017 10:41:00 PM","2","117","ذكر"
"1535299","صدم","1/24/2017 10:42:00 PM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة اتوماتيك","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/24/2017 10:42:00 PM","2","","ذكر"
"1535299","صدم","1/24/2017 10:42:00 PM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","0","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/24/2017 10:42:00 PM","2","",""
"1535477","صدم","1/25/2017 1:59:00 PM","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","مخالفات قواعد واولويات المرور","محافظة العاصمة عمان","شحن","1/25/2017 1:59:00 PM","2","117",""
"1535477","صدم","1/25/2017 1:59:00 PM","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة اتوماتيك","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/25/2017 1:59:00 PM","2","",""
"1536860","صدم","1/26/2017 3:59:00 PM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/26/2017 3:59:00 PM","2","50","انثى"
"1536860","صدم","1/26/2017 3:59:00 PM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/26/2017 3:59:00 PM","2","40","انثى"
"1537724","صدم","1/28/2017 7:02:00 PM","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","مبتل","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","مطر","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","شحن","1/28/2017 7:02:00 PM","2","22","ذكر"
"1537724","صدم","1/28/2017 7:02:00 PM","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","مبتل","الأردن","فئة خامسة","إسفلتي","ليل وطريق بإضاءة كافية","مطر","مستقيم مستوي","عدم تقيد السائق بالشواخص الالزامية او علامات الطرق الارضية","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/28/2017 7:02:00 PM","2","29","ذكر"
"1539497","صدم","1/30/2017 4:22:00 PM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","تغيير المسرب بشكل خاطئ","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/30/2017 4:22:00 PM","2","52","ذكر"
"1539497","صدم","1/30/2017 4:22:00 PM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة رابعة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","شحن","1/30/2017 4:22:00 PM","2","29","ذكر"
"1540895","صدم","3/2/2017 0:40","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة رابعة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","3/2/2017 0:40","2","42","ذكر"
"1540895","صدم","3/2/2017 0:40","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","عدم ترك السائق مسافة التتابع الامن","محافظة العاصمة عمان","سيارة ركوب صغيرة","3/2/2017 0:40","2","40","ذكر"
"1543523","صدم","5/2/2017 8:11","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","اتخاذ السائق لمسرب خاطئ","محافظة العاصمة عمان","نقل مشترك","5/2/2017 8:11","2","46","ذكر"
"1543523","صدم","5/2/2017 8:11","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","5/2/2017 8:11","2","27","ذكر"
"1546717","صدم","10/2/2017 17:20","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","10/2/2017 17:20","2","",""
"1546717","صدم","10/2/2017 17:20","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","سيارة ركوب صغيرة","10/2/2017 17:20","2","44","ذكر"
"1547354","صدم","12/2/2017 14:10","50","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","12/2/2017 14:10","2","",""
"1547354","صدم","12/2/2017 14:10","50","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","سيارة ركوب صغيرة","12/2/2017 14:10","2","55","انثى"
"1547374","صدم","2/13/2017 11:00:00 AM","40","1","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","تغير مسرب بشكل مفاجئ","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/13/2017 11:00:00 AM","3","35","ذكر"
"1547374","صدم","2/13/2017 11:00:00 AM","40","1","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","0","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/13/2017 11:00:00 AM","3","",""
"1547374","صدم","2/13/2017 11:00:00 AM","40","1","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","0","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","نقل مشترك","2/13/2017 11:00:00 AM","3","",""
"1547376","صدم","12/2/2017 18:00","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","مبتل","الأردن","فئة خامسة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","12/2/2017 18:00","2","27","ذكر"
